"","Group1","Group2","Group1Participant","Group2Participant","Condition","RR.HR","DET.HR","NRLINE.HR","maxL.HR","L.HR","ENTR.HR","rENTR.HR","LAM.HR","TT.HR","RR.RE","DET.RE","NRLINE.RE","maxL.RE","L.RE","ENTR.RE","rENTR.RE","LAM.RE","TT.RE"
"75",8,21,2,1,1,7.56555123113844,96.4548135995532,29121,170,7.59105113148587,2.28187952760439,0.463798450035721,99.527890254119,19.5862957238537,7.0748800999926,91.7491378341703,50259,43,4.22415885712012,1.96096885828521,0.531589303114335,95.285962470937,5.49251426151508
"78",8,22,1,2,1,3.47884539869951,98.023722976851,8714,165,11.7596970392472,2.9396838548283,0.605866759877449,98.4608762196288,12.5372716199756,1.72410180563259,63.6040318833327,11617,18,3.06352758887837,1.4128467275848,0.498672904583345,73.3263037495085,3.1000377786173
"79",8,22,2,1,1,2.1833132558186,96.7611150909174,6823,130,9.30441154917192,2.51695594137937,0.53045141074496,99.2455303388255,13.8658432708688,2.27907191717508,52.2895964307443,15172,11,2.54916952280517,1.00476138656967,0.436362325816669,55.0990333265734,2.59711955136375
"82",8,26,1,2,1,4.88574481798157,98.8095760608233,14671,200,13.8103742076205,3.04134346322693,0.604588210957402,99.1129122714615,15.639399769142,4.95129303548725,82.8163355388503,53056,30,3.46554583835947,1.629736407759,0.48908654999489,97.3425697800639,6.42446492271106
"83",8,26,2,1,1,3.90718054594213,95.4611148716635,24245,130,6.45658898742009,2.19604028624009,0.480039131774512,99.0285578383125,22.2026251025431,3.22466621216794,87.7202688871061,37157,30,3.41362327421482,1.62351293221033,0.504372650745795,93.4500262801184,5.63678458201235
"86",10,15,1,2,1,1.71818415738291,96.5736262455568,6574,106,7.56297535746882,2.49211368875013,0.562450176094103,97.9799157003283,9.13656946205398,5.79881788443397,91.0695731405157,38278,43,4.46504519567375,2.05020236744246,0.567778724701368,93.93572863438,4.98239267444818
"87",10,15,2,1,1,2.16305712162186,98.1886349960656,6731,133,9.45461298469767,2.70899725842055,0.590843287552835,98.8937404533041,10.4527071102414,2.46316819207509,64.240196693344,16674,16,3.07130862420535,1.42423872086357,0.525927739553679,88.5747259088286,4.2515655105973
"90",10,17,1,2,1,0.897848758736567,94.3792100710421,3959,82,6.47638292498106,2.34305686595652,0.557248074484909,96.7423712592483,7.46859903381643,1.9368934772867,66.3548152596479,11732,18,3.57892942379816,1.70646349592028,0.602306741036733,69.3937861500047,3.76014728549409
"91",10,17,2,1,1,4.35506387096518,98.814646177196,8537,167,15.2527820077311,3.01233961236936,0.599604150590335,99.371656232214,18.8223372143165,2.44249742269935,65.9306230888766,16701,19,3.15011077181007,1.47289628690791,0.543895488461929,90.7827460023059,4.96783705938829
"94",10,21,1,2,1,2.40066756531228,96.8961905286951,8405,169,8.36454491374182,2.61097768300091,0.590873922538438,98.8036826726942,13.3896152409414,2.52437192535606,70.4770575382374,18613,15,3.11927147692473,1.46396899792762,0.570759416231311,73.9269240106822,3.20177698333421
